#{"t_start": 1743454112.247222, "env_id": "None"}
r,l,t
1.0,184,1262.259059
0.0,184,1262.259068
2.0,284,1276.058498
4.0,284,1276.059484
0.0,284,1276.059521
0.0,284,1276.059534
2.0,204,1282.961326
2.0,204,1282.962509
1.0,204,1282.962534
0.0,204,1282.962546
2.0,204,1282.962556
2.0,204,1282.962564
0.0,204,1282.962571
0.0,204,1282.962586
2.0,164,1288.42976
0.0,164,1288.429882
0.0,164,1288.429897
0.0,164,1288.429907
1.0,184,1295.053117
1.0,184,1295.054109
0.0,184,1295.05415
0.0,184,1295.054164
1.0,164,1295.054175
2.0,164,1295.054185
0.0,164,1295.054194
0.0,164,1295.054203
3.0,164,1298.858693
1.0,164,1298.858799
0.0,164,1298.858816
0.0,164,1298.858826
2.0,184,1318.24618
3.0,184,1318.246609
0.0,184,1318.246634
0.0,184,1318.246646
0.0,184,1326.142574
2.0,184,1326.143545
0.0,184,1326.143581
1.0,184,1326.143605
6.0,304,1328.077457
5.0,304,1328.077518
0.0,304,1328.077537
0.0,304,1328.077547
4.0,164,1333.887825
0.0,164,1333.888258
0.0,164,1333.888287
0.0,164,1333.888299
2.0,224,1335.806241
6.0,224,1335.806298
0.0,224,1335.806314
0.0,224,1335.806324
2.0,204,1336.766691
2.0,204,1336.766757
0.0,204,1336.766772
1.0,204,1336.766782
2.0,164,1337.694862
1.0,164,1337.694916
0.0,164,1337.694931
0.0,164,1337.694941
2.0,224,1347.968798
5.0,224,1347.969418
0.0,224,1347.969444
0.0,224,1347.969456
1.0,184,1369.422438
1.0,184,1369.422951
0.0,184,1369.423822
0.0,184,1369.423854
2.0,184,1371.207674
2.0,184,1371.207732
0.0,184,1371.207748
0.0,184,1371.207758
2.0,164,1373.918625
1.0,164,1373.918679
0.0,164,1373.918694
0.0,164,1373.918704
1.0,164,1374.827419
2.0,164,1374.827849
0.0,164,1374.82789
0.0,164,1374.827903
1.0,224,1389.463181
5.0,224,1389.464368
0.0,224,1389.464395
0.0,224,1389.464406
5.0,304,1389.464416
3.0,304,1389.464424
1.0,304,1389.464432
0.0,304,1389.464446
0.0,204,1394.926964
4.0,204,1394.927187
0.0,204,1394.927237
0.0,204,1394.927257
2.0,284,1399.450488
8.0,284,1399.450547
0.0,284,1399.450565
0.0,284,1399.450574
2.0,184,1413.027596
1.0,184,1413.029134
0.0,184,1413.029158
0.0,184,1413.029169
3.0,184,1416.570369
0.0,184,1416.570421
0.0,184,1416.570435
0.0,184,1416.570445
1.0,204,1420.144594
1.0,204,1420.14473
0.0,204,1420.144756
0.0,204,1420.144768
1.0,224,1420.144778
3.0,224,1420.144787
1.0,224,1420.144794
0.0,224,1420.144802
2.0,164,1426.625383
0.0,164,1426.625733
0.0,164,1426.62576
0.0,164,1426.625773
3.0,164,1436.29073
1.0,164,1436.291741
0.0,164,1436.29176
0.0,164,1436.29177
3.0,244,1444.38779
3.0,244,1444.388161
2.0,244,1444.388181
0.0,244,1444.388192
5.0,224,1445.286312
1.0,224,1445.286363
0.0,224,1445.286377
0.0,224,1445.286387
2.0,184,1454.021444
2.0,184,1454.022484
0.0,184,1454.022515
0.0,184,1454.022529
1.0,164,1456.679581
1.0,164,1456.679638
0.0,164,1456.679652
0.0,164,1456.679675
1.0,184,1461.048967
0.0,184,1461.049389
0.0,184,1461.049418
0.0,184,1461.049434
2.0,164,1462.77625
0.0,164,1462.776311
0.0,164,1462.776327
0.0,164,1462.776338
